,Date,cryptos,sentiment,score,confidence
0,2022-11-30 11:53:21+00:00,$ETH,neutral,0.829,0.882
1,2022-11-30 11:53:21+00:00,$BTC,positive,0.716,0.819
2,2022-11-30 11:53:20+00:00,$BTC,neutral,0.88,0.885
3,2022-11-30 11:53:15+00:00,$OP,negative,0.515,0.664
4,2022-11-30 11:53:13+00:00,$BTC,neutral,0.859,0.892
5,2022-11-30 11:53:10+00:00,$OP,neutral,0.85,0.86
6,2022-11-30 11:53:03+00:00,$BTC,neutral,0.812,0.811
7,2022-11-30 11:53:03+00:00,$BTC,neutral,0.811,0.786
8,2022-11-30 11:52:43+00:00,$AR,neutral,0.614,0.506
9,2022-11-30 11:52:43+00:00,$NEAR,neutral,0.643,0.506
10,2022-11-30 11:52:41+00:00,$BTC,neutral,0.88,0.842
11,2022-11-30 11:52:37+00:00,$BTC,neutral,0.827,0.754
12,2022-11-30 11:52:31+00:00,$AR,neutral,0.855,0.871
13,2022-11-30 11:52:31+00:00,$BTC,neutral,0.868,0.871
14,2022-11-30 11:52:30+00:00,$BTC,neutral,0.89,0.898
15,2022-11-30 11:52:28+00:00,$BTC,neutral,0.749,0.554
16,2022-11-30 11:52:21+00:00,$ETH,neutral,0.829,0.882
17,2022-11-30 11:52:19+00:00,$UNI,positive,0.529,0.566
18,2022-11-30 11:52:19+00:00,$USDT,positive,0.532,0.566
19,2022-11-30 11:52:19+00:00,$OP,neutral,0.835,0.842
20,2022-11-30 11:52:18+00:00,$BTC,neutral,0.844,0.809
21,2022-11-30 11:52:18+00:00,$USDC,neutral,0.804,0.898
22,2022-11-30 11:52:18+00:00,$TRX,neutral,0.837,0.898
23,2022-11-30 11:52:02+00:00,$LTC,neutral,0.486,0.595
24,2022-11-30 11:51:59+00:00,$BTC,neutral,0.638,0.589
25,2022-11-30 11:51:58+00:00,$BTC,neutral,0.868,0.784
26,2022-11-30 11:51:56+00:00,$BTC,neutral,0.886,0.893
27,2022-11-30 11:51:49+00:00,$BNB,neutral,0.843,0.841
28,2022-11-30 11:51:49+00:00,$BTC,neutral,0.852,0.841
29,2022-11-30 11:51:45+00:00,$BTC,negative,0.7,0.838
30,2022-11-30 11:51:40+00:00,$OP,neutral,0.78,0.53
31,2022-11-30 11:51:40+00:00,$BTC,neutral,0.857,0.881
32,2022-11-30 11:51:30+00:00,$BNB,neutral,0.843,0.865
33,2022-11-30 11:51:28+00:00,$ETH,neutral,0.854,0.839
34,2022-11-30 11:51:20+00:00,$ETH,neutral,0.829,0.882
35,2022-11-30 11:51:18+00:00,$BTC,neutral,0.873,0.884
36,2022-11-30 11:51:16+00:00,$BTC,neutral,0.711,0.761
37,2022-11-30 11:51:16+00:00,$LUNA,neutral,0.836,0.816
38,2022-11-30 11:51:16+00:00,$RISE,neutral,0.624,0.579
39,2022-11-30 11:51:12+00:00,$BTC,positive,0.862,0.958
40,2022-11-30 11:51:11+00:00,$BTC,neutral,0.723,0.647
41,2022-11-30 11:51:07+00:00,$BTC,neutral,0.552,0.551
42,2022-11-30 11:51:05+00:00,$BTC,neutral,0.799,0.76
43,2022-11-30 11:51:02+00:00,$AR,neutral,0.885,0.884
44,2022-11-30 11:51:02+00:00,$ADA,neutral,0.883,0.884
45,2022-11-30 11:51:00+00:00,$BTC,neutral,0.716,0.609
46,2022-11-30 11:50:59+00:00,$BTC,neutral,0.634,0.497
47,2022-11-30 11:50:56+00:00,$BTC,negative,0.649,0.909
48,2022-11-30 11:50:49+00:00,$OP,neutral,0.812,0.63
49,2022-11-30 11:50:48+00:00,$BNB,neutral,0.843,0.841
50,2022-11-30 11:50:48+00:00,$BTC,neutral,0.852,0.841
51,2022-11-30 11:50:48+00:00,$BTC,neutral,0.848,0.814
52,2022-11-30 11:50:48+00:00,$USDT,neutral,0.858,0.814
53,2022-11-30 11:50:35+00:00,$BTC,neutral,0.507,0.733
54,2022-11-30 11:50:35+00:00,$BTC,negative,0.689,0.829
55,2022-11-30 11:50:34+00:00,$XRP,positive,0.784,0.909
56,2022-11-30 11:50:32+00:00,$BTC,neutral,0.847,0.815
57,2022-11-30 11:50:27+00:00,$BTC,neutral,0.874,0.847
58,2022-11-30 11:50:26+00:00,$OP,neutral,0.576,0.71
59,2022-11-30 11:50:23+00:00,$ETH,neutral,0.831,0.789
60,2022-11-30 11:50:23+00:00,$BNB,neutral,0.803,0.789
61,2022-11-30 11:50:23+00:00,$BTC,neutral,0.827,0.789
62,2022-11-30 11:50:22+00:00,$ETH,neutral,0.84,0.824
63,2022-11-30 11:50:22+00:00,$SOL,neutral,0.84,0.824
64,2022-11-30 11:50:20+00:00,$BTC,neutral,0.777,0.681
65,2022-11-30 11:50:19+00:00,$ETH,neutral,0.829,0.882
66,2022-11-30 11:50:16+00:00,$ADA,neutral,0.811,0.806
67,2022-11-30 11:50:16+00:00,$AR,neutral,0.806,0.806
68,2022-11-30 11:50:16+00:00,$BTC,neutral,0.839,0.806
69,2022-11-30 11:50:13+00:00,$BTC,positive,0.908,0.977
70,2022-11-30 11:50:11+00:00,$BTC,neutral,0.854,0.86
71,2022-11-30 11:50:03+00:00,$BTC,positive,0.593,0.854
72,2022-11-30 11:50:02+00:00,$BTC,neutral,0.881,0.89
73,2022-11-30 11:50:01+00:00,$BTC,neutral,0.864,0.823
74,2022-11-30 11:50:01+00:00,$USDT,neutral,0.863,0.806
75,2022-11-30 11:50:00+00:00,$BTC,neutral,0.582,0.491
76,2022-11-30 11:49:54+00:00,$USDC,neutral,0.832,0.895
77,2022-11-30 11:49:54+00:00,$TRX,neutral,0.852,0.895
78,2022-11-30 11:49:53+00:00,$BTC,negative,0.516,0.661
79,2022-11-30 11:49:53+00:00,$BTC,neutral,0.57,0.517
80,2022-11-30 11:49:51+00:00,$BNB,neutral,0.849,0.844
81,2022-11-30 11:49:49+00:00,$USDT,positive,0.823,0.9
82,2022-11-30 11:49:47+00:00,$LINK,neutral,0.827,0.821
83,2022-11-30 11:49:45+00:00,$USDC,neutral,0.82,0.898
84,2022-11-30 11:49:45+00:00,$TRX,neutral,0.85,0.898
85,2022-11-30 11:49:44+00:00,$BTC,neutral,0.866,0.883
86,2022-11-30 11:49:37+00:00,$BNB,neutral,0.834,0.849
87,2022-11-30 11:49:36+00:00,$AVAX,neutral,0.825,0.885
88,2022-11-30 11:49:36+00:00,$USDC,neutral,0.809,0.885
89,2022-11-30 11:49:36+00:00,$TRX,neutral,0.834,0.885
90,2022-11-30 11:49:29+00:00,$BNB,neutral,0.843,0.865
91,2022-11-30 11:49:29+00:00,$BNB,neutral,0.82,0.868
92,2022-11-30 11:49:26+00:00,$USDC,neutral,0.768,0.751
93,2022-11-30 11:49:25+00:00,$BTC,neutral,0.571,0.486
94,2022-11-30 11:49:23+00:00,$BTC,neutral,0.597,0.618
95,2022-11-30 11:49:21+00:00,$BTC,positive,0.565,0.66
96,2022-11-30 11:49:19+00:00,$USDC,neutral,0.826,0.895
97,2022-11-30 11:49:19+00:00,$TRX,neutral,0.849,0.895
98,2022-11-30 11:49:18+00:00,$ETH,neutral,0.829,0.882
99,2022-11-30 11:49:13+00:00,$USDC,neutral,0.832,0.897
100,2022-11-30 11:49:13+00:00,$TRX,neutral,0.854,0.897
101,2022-11-30 11:49:10+00:00,$BNB,neutral,0.847,0.847
102,2022-11-30 11:49:04+00:00,$DOGE,neutral,0.795,0.736
103,2022-11-30 11:49:02+00:00,$LINK,neutral,0.811,0.695
104,2022-11-30 11:49:01+00:00,$ADA,neutral,0.871,0.871
105,2022-11-30 11:49:01+00:00,$BTC,neutral,0.876,0.871
106,2022-11-30 11:48:59+00:00,$BNB,neutral,0.847,0.836
107,2022-11-30 11:48:55+00:00,$BTC,neutral,0.821,0.804
108,2022-11-30 11:48:47+00:00,$USDT,neutral,0.875,0.762
109,2022-11-30 11:48:47+00:00,$BNB,neutral,0.849,0.834
110,2022-11-30 11:48:44+00:00,$BTC,neutral,0.845,0.818
111,2022-11-30 11:48:44+00:00,$AR,neutral,0.867,0.896
112,2022-11-30 11:48:42+00:00,$ADA,neutral,0.672,0.622
113,2022-11-30 11:48:42+00:00,$AR,neutral,0.646,0.622
114,2022-11-30 11:48:42+00:00,$BTC,neutral,0.638,0.622
115,2022-11-30 11:48:42+00:00,$BTC,neutral,0.691,0.653
116,2022-11-30 11:48:38+00:00,$XRP,neutral,0.84,0.837
117,2022-11-30 11:48:36+00:00,$BTC,neutral,0.826,0.789
118,2022-11-30 11:48:35+00:00,$BNB,neutral,0.849,0.834
119,2022-11-30 11:48:28+00:00,$BTC,positive,0.588,0.825
120,2022-11-30 11:48:28+00:00,$BTC,neutral,0.715,0.623
121,2022-11-30 11:48:27+00:00,$BTC,neutral,0.501,0.735
122,2022-11-30 11:48:24+00:00,$USDC,neutral,0.823,0.892
123,2022-11-30 11:48:24+00:00,$TRX,neutral,0.851,0.892
124,2022-11-30 11:48:23+00:00,$OP,neutral,0.855,0.73
125,2022-11-30 11:48:19+00:00,$USDC,neutral,0.823,0.911
126,2022-11-30 11:48:19+00:00,$TRX,neutral,0.853,0.911
127,2022-11-30 11:48:18+00:00,$ETH,neutral,0.829,0.882
128,2022-11-30 11:48:17+00:00,$BTC,neutral,0.656,0.497
129,2022-11-30 11:48:11+00:00,$BNB,neutral,0.852,0.853
130,2022-11-30 11:48:09+00:00,$ETH,neutral,0.863,0.839
131,2022-11-30 11:48:09+00:00,$BNB,neutral,0.835,0.839
132,2022-11-30 11:48:07+00:00,$BTC,neutral,0.876,0.892
133,2022-11-30 11:48:02+00:00,$BNB,neutral,0.852,0.853
134,2022-11-30 11:48:00+00:00,$OP,neutral,0.704,0.574
135,2022-11-30 11:48:00+00:00,$ETH,negative,0.48,0.588
136,2022-11-30 11:48:00+00:00,$SOL,neutral,0.48,0.588
137,2022-11-30 11:47:57+00:00,$BTC,neutral,0.771,0.699
138,2022-11-30 11:47:56+00:00,$BTC,neutral,0.851,0.782
139,2022-11-30 11:47:53+00:00,$BNB,neutral,0.851,0.85
140,2022-11-30 11:47:50+00:00,$LTC,neutral,0.667,0.627
141,2022-11-30 11:47:50+00:00,$RISE,neutral,0.572,0.627
142,2022-11-30 11:47:48+00:00,$BTC,negative,0.697,0.829
143,2022-11-30 11:47:48+00:00,$LUNA,neutral,0.878,0.879
144,2022-11-30 11:47:47+00:00,$RISE,neutral,0.614,0.629
145,2022-11-30 11:47:47+00:00,$BTC,neutral,0.773,0.629
146,2022-11-30 11:47:47+00:00,$BTC,neutral,0.813,0.705
147,2022-11-30 11:47:47+00:00,$BTC,neutral,0.555,0.515
148,2022-11-30 11:47:44+00:00,$BNB,neutral,0.852,0.853
149,2022-11-30 11:47:28+00:00,$BNB,neutral,0.843,0.865
150,2022-11-30 11:47:28+00:00,$ETH,positive,0.846,0.893
151,2022-11-30 11:47:28+00:00,$MATIC,positive,0.839,0.893
152,2022-11-30 11:47:28+00:00,$AR,neutral,0.843,0.789
153,2022-11-30 11:47:17+00:00,$ETH,neutral,0.829,0.882
154,2022-11-30 11:47:10+00:00,$ETH,neutral,0.849,0.836
155,2022-11-30 11:47:10+00:00,$BTC,neutral,0.857,0.836
156,2022-11-30 11:47:09+00:00,$BTC,neutral,0.812,0.857
157,2022-11-30 11:47:08+00:00,$OP,neutral,0.807,0.651
158,2022-11-30 11:47:05+00:00,$BNB,neutral,0.739,0.724
159,2022-11-30 11:47:00+00:00,$BTC,neutral,0.781,0.735
